Date,Site,Quadrat,Mussel #,Mussel size (cm)
7/6/15,SR,1,1,4.5
7/6/15,SR,5,1,7
7/6/15,SR,7,1,6
7/6/15,SR,9,1,7
7/6/15,SR,1,2,7
7/6/15,SR,5,2,8
7/6/15,SR,7,2,8
7/6/15,SR,9,2,8
7/6/15,SR,1,3,3
7/6/15,SR,5,3,4
7/6/15,SR,7,3,3
7/6/15,SR,9,3,9
7/6/15,SR,1,4,4.5
7/6/15,SR,5,4,7
7/6/15,SR,7,4,7
7/6/15,SR,9,4,8
7/6/15,SR,1,5,7
7/6/15,SR,5,5,8
7/6/15,SR,7,5,5
7/6/15,SR,9,5,7
8/14/15,BML,5,1,3.5
8/14/15,BML,7,1,5
8/14/15,BML,9,1,6.5
8/14/15,BML,1,1,5.5
8/14/15,BML,3,1,8
8/14/15,BML,5,2,2
8/14/15,BML,7,2,4
8/14/15,BML,9,2,3
8/14/15,BML,1,2,4
8/14/15,BML,3,2,7
8/14/15,BML,5,3,4.5
8/14/15,BML,7,3,3
8/14/15,BML,9,3,6
8/14/15,BML,1,3,7
8/14/15,BML,3,3,7
8/14/15,BML,5,4,4
8/14/15,BML,7,4,4
8/14/15,BML,9,4,5.5
8/14/15,BML,1,4,6.5
8/14/15,BML,3,4,9
8/14/15,BML,5,5,3
8/14/15,BML,7,5,5
8/14/15,BML,9,5,5
8/14/15,BML,1,5,4
8/14/15,BML,3,5,9
8/15/15,SR,1,1,6
8/15/15,SR,5,1,6
8/15/15,SR,7,1,7
8/15/15,SR,3,1,4.5
8/15/15,SR,9,1,10
8/15/15,SR,1,2,6
8/15/15,SR,5,2,5.5
8/15/15,SR,7,2,6.5
8/15/15,SR,3,2,6.5
8/15/15,SR,9,2,6
8/15/15,SR,1,3,5.5
8/15/15,SR,5,3,7
8/15/15,SR,7,3,4
8/15/15,SR,3,3,6
8/15/15,SR,9,3,9
8/15/15,SR,1,4,5
8/15/15,SR,5,4,3
8/15/15,SR,7,4,6
8/15/15,SR,3,4,6.5
8/15/15,SR,9,4,8
8/15/15,SR,1,5,4
8/15/15,SR,5,5,6
8/15/15,SR,7,5,6
8/15/15,SR,3,5,6.5
8/15/15,SR,9,5,7
